;M_Spd_3m;M_Direction_3m;M_Dir_3m;M_Spd_12m;M_Direction_12m;M_Dir_12m;M_Spd_25m;M_Direction_25m;M_Dir_25m;M_Spd_37m;M_Direction_37m;M_Dir_37m
0;0,098121887;SE;125,6811234;0,097330039;SE;136,38257;0,067390216;SE;133,1993003;0,060608037;ESE;110,3693833
1;0,128073622;SSE;137,2636871;0,133220917;SSE;155,1827786;0,09766859;SSE;161,5790301;0,077630914;SSE;150,2721335
2;0,133780655;SSE;157,1230302;0,132183773;SSE;163,6731982;0,102606607;S;173,8235504;0,078789359;SSE;166,30266
3;0,131233091;SSE;166,7550553;0,130275928;S;173,1060539;0,096651128;S;185,8077658;0,070363361;S;181,8117379
4;0,131233091;SSE;166,7550553;0,130275928;S;173,1060539;0,096651128;S;185,8077658;0,070363361;S;181,8117379
5;0,105762953;S;182,3622129;0,117682831;S;190,7813328;0,069013623;SSW;207,2111061;0,032801234;SW;213,3322879
6;0,087153767;S;189,313571;0,100069894;SSW;199,3022039;0,050353721;SW;217,6315733;0,027363122;WSW;239,6029319
7;0,070311075;SSW;193,3579626;0,083677872;SSW;205,5962318;0,035095338;SW;221,5373824;0,016577132;W;268,5853181
8;0,070311075;SSW;193,3579626;0,083677872;SSW;205,5962318;0,035095338;SW;221,5373824;0,016577132;W;268,5853181
9;0,056878307;S;188,9510593;0,067861351;SSW;207,0098687;0,030655229;SSW;196,8593826;0,005218979;SW;221,8605537
10;0,061977908;S;182,371023;0,069359694;SSW;202,2811191;0,033332224;S;188,1392573;0,018398557;S;185,5383812
11;0,07339881;S;178,3339393;0,077738011;SSW;197,1923098;0,062389321;S;188,5378138;0,036303356;S;188,8352237
12;0,07339881;S;178,3339393;0,077738011;SSW;197,1923098;0,062389321;S;188,5378138;0,036303356;S;188,8352237
13;0,099007636;S;179,1131136;0,096976566;SSW;195,1191673;0,086389108;SSW;197,3212161;0,059928286;SSW;202,1321158
14;0,107283364;S;183,1652037;0,1025534;SSW;199,1703656;0,089375609;SSW;205,7376156;0,063531737;SW;213,7533277
15;0,107676553;S;189,1958338;0,10021095;SSW;206,8283682;0,083226397;SW;217,1723336;0,059637164;SW;230,2813857
16;0,107676553;S;189,1958338;0,10021095;SSW;206,8283682;0,083226397;SW;217,1723336;0,059637164;SW;230,2813857
17;0,090567869;SSW;202,3979253;0,078961758;SW;227,6827163;0,057196333;WSW;236,808611;0,036630764;W;276,5376332
18;0,073353662;SSW;210,3322274;0,060856796;WSW;232,8953908;0,030038793;W;272,557892;0,033799162;NW;311,1366706
19;0,05705162;SW;217,1399524;0,031180831;W;259,6303319;0,026098793;NW;310,3377133;0,033726902;NNW;333,7393638
20;0,05705162;SW;217,1399524;0,031180831;W;259,6303319;0,026098793;NW;310,3377133;0,033726902;NNW;333,7393638
21;0,032336639;SSW;208,9013768;0,005377075;WNW;286,0390159;0,020789826;ENE;56,35519352;0,033338236;NE;33,78917821
22;0,032857713;S;181,1113811;0,017392998;SE;127,8520996;0,032603227;ESE;103,5633223;0,030931027;ENE;67,0327731
23;0,03988195;SSE;163,3255774;0,032936978;SE;139,3398351;0,051113089;SE;132,1572218;0,033533059;ESE;103,0038335
24;0,03988195;SSE;163,3255774;0,032936978;SE;139,3398351;0,051113089;SE;132,1572218;0,033533059;ESE;103,0038335
25;0,093708134;SSE;161,363353;0,086181725;SSE;156,3260919;0,083105922;SSE;158,7555526;0,062928779;SE;136,0087335
