;M_Spd_3m;M_Direction_3m;M_Dir_3m;M_Spd_12m;M_Direction_12m;M_Dir_12m;M_Spd_25m;M_Direction_25m;M_Dir_25m
0;0,201783213;SW;235,5111278;0,175806102;SW;235,929868;0,205199812;WSW;236,8135731
1;0,196126022;W;275,9125783;0,165652171;W;279,9231308;0,177228336;WNW;285,7211806
2;0,183020119;NW;306,3208259;0,151910812;NW;313,2989582;0,167271929;NW;322,168078
3;0,181135027;NNW;339,2211571;0,160392182;NNW;318,3132729;0,180300672;N;358,5669822
4;0,181135027;NNW;339,2211571;0,160392182;NNW;318,3132729;0,180300672;N;358,5669822
5;0,2007508;NNE;27,22127115;0,177830727;NE;36,97919166;0,20568822;NE;16,55199682
6;0,190161251;NE;50,27503002;0,165701317;ENE;61,31009881;0,193182836;ENE;71,11156105
7;0,157937609;ENE;76,17910779;0,139013928;E;89,91228007;0,165528766;ESE;101,1611539
8;0,157937609;ENE;76,17910779;0,139013928;E;89,91228007;0,165528766;ESE;101,1611539
9;0,110820901;SSE;150,2518658;0,120908112;SSE;160,2218712;0,151118651;S;171,199272
10;0,121576382;SSW;193,1790014;0,111381277;SSW;196,2595286;0,177067111;SSW;205,2117336
11;0,110121191;SW;225,183158;0,156612133;SW;221,2513603;0,191139881;SW;232,8188186
12;0,110121191;SW;225,183158;0,156612133;SW;221,2513603;0,191139881;SW;232,8188186
13;0,110691282;WNW;282,105139;0,116092137;W;276,2559707;0,179355815;WNW;285,1077822
14;0,151865871;NW;321,2063319;0,115613121;NW;315,578519;0,181016978;NW;321,9013373
15;0,187016193;N;355,1529787;0,172161162;N;352,7176862;0,205937214;N;356,1721211
16;0,187016193;N;355,1529787;0,172161162;N;352,7176862;0,205937214;N;356,1721211
17;0,216811737;NE;35,03390037;0,230989868;NE;36,31811514;0,250301274;NE;39,8736393
18;0,2173136;NE;52,81091583;0,235061522;NE;55,37269888;0,213377318;ENE;60,76016719
19;0,218070656;ENE;71,23267121;0,210627658;ENE;75,23587352;0,209188197;E;83,90035169
20;0,218070656;ENE;71,23267121;0,210627658;ENE;75,23587352;0,209188197;E;83,90035169
21;0,13186916;ESE;118,7608612;0,138686921;SE;125,2196109;0,111598667;SE;116,0599667
22;0,102626955;SSE;163,0860879;0,117551239;SSE;166,1935032;0,117118971;S;189,6188022
23;0,099865083;SSW;210,263152;0,115559005;SSW;207,3715691;0,165519325;SW;225,2551224
24;0,099865083;SSW;210,263152;0,115559005;SSW;207,3715691;0,165519325;SW;225,2551224
25;0,116535027;WNW;281,9756111;0,116878312;W;276,8152321;0,180651007;W;281,1688077
26;0,116359755;NW;321,5369566;0,135899154;NW;319,1832311;0,19361965;NW;315,6121282
27;0,193077064;N;351,8859038;0,177111186;N;353,0685193;0,222178777;NNW;317,3963718
28;0,193077064;N;351,8859038;0,177111186;N;353,0685193;0,222178777;NNW;317,3963718
29;0,26122336;NNE;30,95528123;0,215112723;NNE;32,02683729;0,269221667;NNE;29,55780591
30;0,265609678;NE;17,35363036;0,251558711;NE;19,38036834;0,26115771;NE;19,39596916
31;0,238167393;ENE;63,672877;0,227331807;ENE;66,80861128;0,229587257;ENE;69,9710693
32;0,238167393;ENE;63,672877;0,227331807;ENE;66,80861128;0,229587257;ENE;69,9710693
33;0,139960523;ESE;102,0290123;0,139115715;ESE;108,8728377;0,136768766;SE;121,2153673
34;0,089511858;SE;111,6513312;0,099191303;SSE;119,8021853;0,117066968;S;171,1381096
35;0,071913501;SSW;199,5391681;0,088651852;SSW;199,9775992;0,132176276;SW;219,1951114
36;0,071913501;SSW;199,5391681;0,088651852;SSW;199,9775992;0,132176276;SW;219,1951114
37;0,09852113;WNW;289,1110375;0,102073681;W;279,9710317;0,161916219;WNW;281,8593015
38;0,136985218;NNW;328,5385819;0,129535337;NW;321,7293779;0,189675259;NW;316,690135
39;0,189712691;N;357,0756006;0,176062202;N;353,8211389;0,229113307;NNW;317,5718221
40;0,189712691;N;357,0756006;0,176062202;N;353,8211389;0,229113307;NNW;317,5718221
41;0,268995059;NNE;31,18018316;0,2517311;NNE;31,19192128;0,295701766;NNE;28,10178101
42;0,280838317;NE;17,16119172;0,263173111;NE;18,10689379;0,301823722;NE;16,95006968
43;0,259870592;ENE;63,52651586;0,211115791;ENE;65,1753266;0,271823119;ENE;65,89663636
44;0,259870592;ENE;63,52651586;0,211115791;ENE;65,1753266;0,271823119;ENE;65,89663636
45;0,167791682;E;101,0916393;0,159697831;ESE;106,155566;0,177869108;ESE;111,3716696
46;0,118911938;SE;137,6767825;0,121336222;SE;115,921612;0,139558032;SSE;153,5515792
47;0,102236063;S;186,000122;0,115922104;SSW;191,5602782;0,110202332;SSW;199,5135381
48;0,102236063;S;186,000122;0,115922104;SSW;191,5602782;0,110202332;SSW;199,5135381
49;0,115136974;WSW;258,7061519;0,13059151;WSW;255,2322802;0,16539779;W;262,077616
50;0,126989;WNW;297,2216812;0,135512519;WNW;290,7807759;0,175795368;WNW;296,0938108
51;0,151958906;NNW;332,9511931;0,150998892;NNW;326,7000583;0,195390676;NNW;329,7501072
52;0,151958906;NNW;332,9511931;0,150998892;NNW;326,7000583;0,195390676;NNW;329,7501072
53;0,206915003;NNE;18,82516897;0,195316211;NNE;15,8027812;0,211776011;NNE;17,79161918
54;0,21833574;NE;38,67716013;0,201318031;NE;37,06978373;0,219237173;NE;39,8551136
55;0,203727113;ENE;57,71723151;0,188961186;ENE;57,17606601;0,230501806;ENE;61,1565607
56;0,203727113;ENE;57,71723151;0,188961186;ENE;57,17606601;0,230501806;ENE;61,1565607
57;0,132617717;ESE;102,9111019;0,121896823;ESE;107,3933078;0,157632616;ESE;112,1658068
58;0,10370772;SSE;116,7606316;0,102781622;SSE;151,8693132;0,135937861;SSE;155,7276813
59;0,108968813;SSW;193,7722081;0,118110518;SSW;199,1758059;0,116925563;SSW;197,9365178
60;0,108968813;SSW;193,7722081;0,118110518;SSW;199,1758059;0,116925563;SSW;197,9365178
61;0,131755572;WSW;253,1521869;0,115771159;WSW;253,1180938;0,169650217;WSW;251,1922237
62;0,135527821;WNW;287,0680564;0,117719062;WNW;281,8255259;0,170992721;WNW;287,1711027
63;0,118818807;NW;323,3359391;0,155972687;NW;319,1922072;0,181738108;NW;322,7615203
64;0,118818807;NW;323,3359391;0,155972687;NW;319,1922072;0,181738108;NW;322,7615203
65;0,199700196;NNE;11,58770315;0,197776939;NNE;11,15512786;0,231132037;NNE;15,11631391
66;0,217967716;NE;36,19365919;0,21302399;NE;33,77200794;0,219630798;NE;38,51922866
67;0,212135637;NE;56,11712756;0,205186128;NE;51,33595112;0,213099576;ENE;60,10511662
68;0,212135637;NE;56,11712756;0,205186128;NE;51,33595112;0,213099576;ENE;60,10511662
69;0,153011698;E;99,91068661;0,111985252;E;100,1106062;0,18325236;ESE;106,708668
70;0,125183862;SE;139,8110217;0,120033653;SE;112,3926591;0,15828718;SE;115,2190981
71;0,13086164;S;183,2289507;0,131002172;S;186,1579801;0,161352152;S;185,1616527
72;0,13086164;S;183,2289507;0,131002172;S;186,1579801;0,161352152;S;185,1616527
73;0,16227751;SW;236,1680211;0,167271699;WSW;238,0613921;0,190188012;WSW;237,8521956
74;0,161511652;W;262,2712301;0,167613057;W;263,7275064;0,185952997;W;265,3819272
75;0,151811113;WNW;291,759068;0,158702089;WNW;292,7512711;0,17193612;WNW;296,5187687
76;0,151811113;WNW;291,759068;0,158702089;WNW;292,7512711;0,17193612;WNW;296,5187687
77;0,118102681;N;319,2138183;0,155151015;N;319,151084;0,176639312;N;355,5507716
78;0,151211;NNE;18,11201758;0,158111683;NNE;17,90001115;0,18106263;NNE;21,93175679
79;0,113760688;NE;11,96911693;0,150627181;NE;11,08190163;0,179753199;NE;51,73121629
80;0,113760688;NE;11,96911693;0,150627181;NE;11,08190163;0,179753199;NE;51,73121629
81;0,101758393;ESE;103,1232869;0,108981681;E;100,6939931;0,11376668;ESE;106,7501912
82;0,102591507;SSE;151,1125768;0,102391122;SSE;118,055012;0,137020951;SSE;117,8776095
83;0,128852358;S;190,9689858;0,125010524;S;189,2238302;0,153989931;S;185,72332
84;0,128852358;S;190,9689858;0,125010524;S;189,2238302;0,153989931;S;185,72332
85;0,166285929;SW;235,6371335;0,160108572;WSW;236,1383257;0,179263326;SW;231,8111195
86;0,162120962;W;259,6317811;0,156391209;W;262,2210202;0,171111102;W;262,3821561
87;0,118218512;WNW;288,6191118;0,115120633;WNW;293,7213751;0,158211557;WNW;295,8572896
88;0,118218512;WNW;288,6191118;0,115120633;WNW;293,7213751;0,158211557;WNW;295,8572896
89;0,111370216;N;319,1615184;0,157803182;N;355,8906871;0,176516372;N;359,8931867
90;0,151310607;NNE;19,7283818;0,177912174;NNE;21,18250151;0,201299057;NNE;28,38669718
91;0,155329105;NE;15,76959671;0,186518867;NE;17,6629874;0,213231117;NE;52,2013912
92;0,155329105;NE;15,76959671;0,186518867;NE;17,6629874;0,213231117;NE;52,2013912
93;0,123558276;E;98,31716184;0,156171052;E;90,80098253;0,186785208;E;95,18871881
94;0,116559278;SE;111,9375369;0,132182384;SE;125,2215306;0,163602163;SE;127,7111301
95;0,111779372;S;182,1738803;0,12872637;SSE;165,9656112;0,157203888;SSE;161,3919698
96;0,111779372;S;182,1738803;0,12872637;SSE;165,9656112;0,157203888;SSE;161,3919698
97;0,198118186;SW;225,0069312;0,158592679;SW;222,1181107;0,17288511;SW;218,9576707
98;0,202522192;WSW;213,3165262;0,167316152;WSW;217,508377;0,169651022;WSW;215,6010763
99;0,181017316;W;263,2781889;0,161681594;W;271,7661178;0,151921591;W;271,5957312
100;0,181017316;W;263,2781889;0,161681594;W;271,7661178;0,151921591;W;271,5957312
101;0,125118527;NW;311,0561063;0,139058173;NW;318,2160131;0,139197333;NNW;336,397399
102;0,10182856;NNW;315,855862;0,120016113;NNW;317,5918801;0,116208696;N;10,16322569
103;0,081655603;NNE;21,55731116;0,098181319;NNE;18,72077973;0,151331995;NE;39,87136997
104;0,081655603;NNE;21,55731116;0,098181319;NNE;18,72077973;0,151331995;NE;39,87136997
105;0,06815005;ESE;118,3177034;0,058638352;ESE;101,2568961;0,13188916;E;91,1771662
106;0,100806054;SSE;166,6297386;0,083523855;SSE;166,0773682;0,125180233;SE;127,9306022
107;0,11875512;SSW;195,0813116;0,13318781;SSW;198,1690288;0,131619509;SSE;165,2172216
108;0,11875512;SSW;195,0813116;0,13318781;SSW;198,1690288;0,131619509;SSE;165,2172216
109;0,206020751;SW;227,3956814;0,197716779;SW;231,7616583;0,151389893;SW;215,6011917
110;0,207320667;WSW;211,1312682;0,203358236;WSW;219,1586584;0,113813107;WSW;210,8365255
111;0,185827694;W;263,9613814;0,187312711;W;269,6778391;0,122713956;W;271,1261187
112;0,185827694;W;263,9613814;0,187312711;W;269,6778391;0,122713956;W;271,1261187
113;0,132255539;NW;316,9956826;0,118702979;NW;321,7051899;0,1181601;NNW;316,8779808
114;0,123973111;N;356,3662282;0,115717901;N;356,6335159;0,118927088;NNE;21,82332221
115;0,13110332;NNE;31,15693011;0,151321216;NNE;27,37788987;0,177521783;NE;17,23926184
116;0,13110332;NNE;31,15693011;0,151321216;NNE;27,37788987;0,177521783;NE;17,23926184
